First Name,Middle Name,Last Name,Position,Status,League
Antti,,Aalto,C,inactive,nhl
George,,Abbott,G,inactive,nhl
Reg,,Abbott,C,inactive,nhl
Spencer,,Abbott,LW,inactive,nhl
Justin,,Abdelkader,LW,active,nhl
Clarence,,Abel,D,inactive,nhl
Gerry,,Abel,LW,inactive,nhl
Sid,,Abel,C/LW,inactive,nhl
Dennis,,Abgrall,RW,inactive,nhl
Ramzi,,Abid,LW,inactive,nhl
Thommy,,Abrahamsson,D,inactive,nhl
Noel,,Acciari,C,active,nhl
Gene,,Achtymichuk,C,inactive,nhl
Doug,,Acomb,C,inactive,nhl
Keith,,Acton,C,inactive,nhl
Will,,Acton,C,inactive,nhl
Douglas,,Adam,LW,inactive,nhl
Luke,,Adam,C,inactive,nhl
Russ,,Adam,C,inactive,nhl
Bryan,,Adams,C,inactive,nhl
Craig,,Adams,RW,inactive,nhl
Greg,,Adams,LW,inactive,nhl
Greg,,Adams,LW,inactive,nhl
Jack,,Adams,C,inactive,nhl
John,,Adams,LW,inactive,nhl
John,,Adams,G,inactive,nhl
Kevyn,,Adams,C,inactive,nhl
Stew,,Adams,LW,inactive,nhl
Rick,,Adduono,C,inactive,nhl
David,,Aebischer,G,inactive,nhl
Dmitry,,Afanasenkov,LW,inactive,nhl
Bruce,,Affleck,D,inactive,nhl
Maxim,,Afinogenov,RW,inactive,nhl
Jim,,Agnew,D,inactive,nhl
Kenny,,Agostino,LW,active,nhl
Andrew,,Agozzino,LW,active,nhl
Fred,,Ahern,RW,inactive,nhl
Rudy,,Ahlin,LW,inactive,nhl
Peter,,Ahola,D,inactive,nhl
Chris,,Ahrens,D,inactive,nhl
John,,Aiken,G,inactive,nhl
Lloyd,,Ailsby,D,inactive,nhl
Brad,,Aitken,LW,inactive,nhl
Johnathan,,Aitken,D,inactive,nhl
Andy,,Aitkenhead,G,inactive,nhl
Sami,,Aittokallio,G,inactive,nhl
Micah,,Aivazoff,C,inactive,nhl
Jason,,Akeson,RW,inactive,nhl
Mika,,Alatalo,LW,inactive,nhl
Tommy,,Albelin,D,inactive,nhl
John,,Albert,C,inactive,nhl
Andrew,,Alberts,D,inactive,nhl
Clint,,Albright,C,inactive,nhl
Gary,,Aldcorn,LW,inactive,nhl
Keith,,Aldridge,D,inactive,nhl
Claire,,Alexander,D,inactive,nhl
Art,,Alexandre,LW,inactive,nhl
Nikita,,Alexeev,RW,inactive,nhl
Daniel,,Alfredsson,RW,inactive,nhl
Akim,,Aliu,RW,inactive,nhl
Jeff,,Allan,D,inactive,nhl
Bobby,,Allen,D,inactive,nhl
Bryan,,Allen,D,inactive,nhl
Chris,,Allen,D,inactive,nhl
Conor,,Allen,D,inactive,nhl
George,,Allen,LW/D,inactive,nhl
Jake,,Allen,G,active,nhl
Keith,,Allen,D,inactive,nhl
Peter,,Allen,D,inactive,nhl
Viv,,Allen,RW,inactive,nhl
Steve,,Alley,LW,inactive,nhl
Dave,,Allison,D,inactive,nhl
Jamie,,Allison,D,inactive,nhl
Jason,,Allison,C,inactive,nhl
Mike,,Allison,LW,inactive,nhl
Ray,,Allison,RW,inactive,nhl
Bill,,Allum,D,inactive,nhl
Red,,Almas,G,inactive,nhl
Cody,,Almond,C,inactive,nhl
Adam,,Almqvist,D,inactive,nhl
Mark,,Alt,D,inactive,nhl
Karl,,Alzner,D,active,nhl
Dave,,Amadio,D,inactive,nhl
Peter,,Ambroziak,LW,inactive,nhl
Mike,,Amodeo,D,inactive,nhl
Tony,,Amonte,RW,inactive,nhl
Frederik,,Andersen,G,active,nhl
Craig,,Anderson,G,active,nhl
Dale,,Anderson,D,inactive,nhl
Earl,,Anderson,RW,inactive,nhl
Glenn,,Anderson,RW,inactive,nhl
Jim,,Anderson,LW,inactive,nhl
John,,Anderson,RW,inactive,nhl
Josh,,Anderson,RW,active,nhl
Lorne,,Anderson,G,inactive,nhl
Matt,,Anderson,RW,inactive,nhl
Murray,,Anderson,D,inactive,nhl
Perry,,Anderson,LW,inactive,nhl
Ron,,Anderson,RW,inactive,nhl
Ron,,Anderson,RW,inactive,nhl
Russ,,Anderson,D,inactive,nhl
Shawn,,Anderson,D,inactive,nhl
Tom,,Anderson,LW/D,inactive,nhl
Erik,,Andersson,C,inactive,nhl
Joakim,,Andersson,C,active,nhl
Jonas,,Andersson,RW,inactive,nhl
Kent-Erik,,Andersson,RW,inactive,nhl
Mikael,,Andersson,LW,inactive,nhl
Niklas,,Andersson,LW,inactive,nhl
Peter,,Andersson,D,inactive,nhl
Peter,,Andersson,D,inactive,nhl
Paul,,Andrea,RW,inactive,nhl
Andy,,Andreoff,LW,active,nhl
Lloyd,,Andrews,LW,inactive,nhl
Dave,,Andreychuk,LW,inactive,nhl
Alexander,,Andrievski,RW,inactive,nhl
Sven,,Andrighetto,RW,active,nhl
Ron,,Andruff,C,inactive,nhl
Greg,,Andrusak,D,inactive,nhl
Mike,,Angelidis,LW,active,nhl
Mel,,Angelstad,LW,inactive,nhl
Lou,,Angotti,C/RW,inactive,nhl
Darrel,,Anholt,D,inactive,nhl
Artem,,Anisimov,C,active,nhl
Hub,,Anslow,C,inactive,nhl
Mike,,Antonovich,C,inactive,nhl
Shawn,,Antoski,LW,inactive,nhl
Nik,,Antropov,C,inactive,nhl
Syl,,Apps,C,inactive,nhl
Syl,,Apps,C,inactive,nhl
Al,,Arbour,D,inactive,nhl
Amos,,Arbour,LW,inactive,nhl
Jack,,Arbour,D,inactive,nhl
John,,Arbour,D,inactive,nhl
Ty,,Arbour,LW,inactive,nhl
Michel,,Archambault,LW,inactive,nhl
Darren,,Archibald,RW,inactive,nhl
Dave,,Archibald,C/LW,inactive,nhl
Jim,,Archibald,RW,inactive,nhl
Josh,,Archibald,RW,active,nhl
Mark,,Arcobello,RW,active,nhl
Ron,,Areshenkoff,C,inactive,nhl
Denis,,Arkhipov,C,inactive,nhl
Joel,,Armia,RW,active,nhl
Bill,,Armstrong,C,inactive,nhl
Bob,,Armstrong,D,inactive,nhl
Chris,,Armstrong,D,inactive,nhl
Colby,,Armstrong,RW,inactive,nhl
Derek,,Armstrong,C,inactive,nhl
George,,Armstrong,RW,inactive,nhl
Murray,,Armstrong,C,inactive,nhl
Norm,,Armstrong,RW/D,inactive,nhl
Riley,,Armstrong,RW,inactive,nhl
Tim,,Armstrong,C,inactive,nhl
Chuck,,Arnason,RW,inactive,nhl
Tyler,,Arnason,C,inactive,nhl
Jamie,,Arniel,C,inactive,nhl
Scott,,Arniel,LW,inactive,nhl
Bill,,Arnold,C,inactive,nhl
Jason,,Arnott,C,inactive,nhl
Dean,,Arsene,D,inactive,nhl
Fred,,Arthur,D,inactive,nhl
Evgeny,,Artyukhin,RW,inactive,nhl
John,,Arundel,D,inactive,nhl
Magnus,,Arvedson,LW,inactive,nhl
Viktor,,Arvidsson,LW,active,nhl
Arron,,Asham,RW,inactive,nhl
Barry,,Ashbee,D,inactive,nhl
Don,,Ashby,C,inactive,nhl
Brent,,Ashton,LW,inactive,nhl
Carter,,Ashton,RW,inactive,nhl
Frank,,Ashworth,C,inactive,nhl
Tom,,Askey,G,inactive,nhl
Oscar,,Asmundson,C,inactive,nhl
Kaspars,,Astashenko,D/W,inactive,nhl
Mark,,Astley,D,inactive,nhl
Hardy,,Astrom,G,inactive,nhl
Walt,,Atanas,RW,inactive,nhl
Blair,,Atcheynum,RW,inactive,nhl
Andreas,,Athanasiou,C,active,nhl
Cam,,Atkinson,RW,active,nhl
Steve,,Atkinson,RW,inactive,nhl
Bob,,Attwell,RW,inactive,nhl
Ron,,Attwell,RW,inactive,nhl
Jean-Sebastien,,Aubin,G,inactive,nhl
Norm,,Aubin,C,inactive,nhl
Serge,,Aubin,LW,inactive,nhl
Pierre,,Aubry,LW,inactive,nhl
Ossie,,Aubuchon,LW,inactive,nhl
Adrian,,Aucoin,D,inactive,nhl
Keith,,Aucoin,C,inactive,nhl
Philippe,,Audet,LW,inactive,nhl
Donald,,Audette,RW,inactive,nhl
Les,,Auge,D,inactive,nhl
Patrik,,Augusta,RW,inactive,nhl
Alex,,Auld,G,inactive,nhl
Keith,,Aulie,D,inactive,nhl
Jared,,Aulin,C/RW,inactive,nhl
Larry,,Aurie,RW,inactive,nhl
Sean,,Avery,C,inactive,nhl
Don,,Awrey,D,inactive,nhl
P.J.,,Axelsson,LW,inactive,nhl
Vern,,Ayres,D,inactive,nhl
Juhamatti,,Aaltonen,RW,inactive,non-nhl
Miro,,Aaltonen,C,inactive,non-nhl
Bruce,,Abbey,D,inactive,non-nhl
Konrad,,Abeltshauser,D,inactive,non-nhl
Pontus,,Aberg,LW,inactive,non-nhl
Cameron,,Abney,RW,inactive,non-nhl
Rodrigo,,Abols,C,inactive,non-nhl
Christer,,Abrahamsson,G,inactive,non-nhl
Vitaly,,Abramov,RW,inactive,non-nhl
Jim,,Adair,C,inactive,non-nhl
Petr,,Adamik,,inactive,non-nhl
Collin,,Adams,LW,inactive,non-nhl
John,,Adams,D,inactive,non-nhl
Mark,,Adams,D,inactive,non-nhl
Jeremiah,,Addison,LW,inactive,non-nhl
Ray,,Adduono,C,inactive,non-nhl
Kevin,,Ahearn,LW,inactive,non-nhl
Filip,,Ahl,LW,inactive,non-nhl
Jonas,,Ahnelov,LW,inactive,non-nhl
Sebastian,,Aho,RW,inactive,non-nhl
Seppo,,Ahokainen,,inactive,non-nhl
Anthony,,Aiello,D,inactive,non-nhl
Justin,,Aikins,C,inactive,non-nhl
Magnus,,Akerlund,G,inactive,non-nhl
Karri,,Akkanen,RW,inactive,non-nhl
Johan,,Alcen,RW,inactive,non-nhl
Juha,,Alen,D,inactive,non-nhl
Viktor,,Alexandrov,LW,inactive,non-nhl
Yury,,Alexandrov,D,inactive,non-nhl
Frederic,,Allard,D,inactive,non-nhl
Jean-Simon,,Allard,C,inactive,non-nhl
Wade,,Allison,RW,inactive,non-nhl
Johan,,Alm,D,inactive,non-nhl
Niclas,,Almari,D,inactive,non-nhl
Jonas,,Almtorp,C,inactive,non-nhl
Daniel,,Altshuller,G,inactive,non-nhl
Michael,,Amadio,C,inactive,non-nhl
Seth,,Ambroz,RW,inactive,non-nhl
Terrance,,Amorosa,D,inactive,non-nhl
Niclas,,Andersen,D,inactive,non-nhl
Bill,,Anderson,D,inactive,non-nhl
Doug,,Anderson,C,inactive,non-nhl
Joseph,,Anderson,RW,inactive,non-nhl
Josh,,Anderson,D,inactive,non-nhl
R.J.,,Anderson,D,inactive,non-nhl
Ron,F.,Anderson,D,inactive,non-nhl
Calle,,Andersson,D,inactive,non-nhl
Johan,,Andersson,C,inactive,non-nhl
Peter,,Andersson,D,inactive,non-nhl
Rasmus,,Andersson,D,inactive,non-nhl
Steve,,Andrascik,RW,inactive,non-nhl
Randy,,Andreachuk,C,inactive,non-nhl
Joel,,Andresen,D,inactive,non-nhl
Alexander,,Andrevi,,inactive,non-nhl
Brent,,Andrews,LW,inactive,non-nhl
Sergei,,Andronov,RW,inactive,non-nhl
Bryce,,Aneloski,D,inactive,non-nhl
Jonathan,,Ang,C,inactive,non-nhl
Anthony,,Angello,C,inactive,non-nhl
Vitali,,Anikeyenko,D,inactive,non-nhl
Sergei,,Anshakov,LW,inactive,non-nhl
Steven,,Anthony,LW,inactive,non-nhl
Marko,,Anttila,RW,inactive,non-nhl
Mason,,Appleton,C,inactive,non-nhl
Anthony,,Aquino,RW,inactive,non-nhl
Luciano,,Aquino,C/LW,inactive,non-nhl
Olivier,,Archambault,LW,inactive,non-nhl
Yves,,Archambault,G,inactive,non-nhl
Andrew,,Archer,D,inactive,non-nhl
Brandon,,Archibald,D,inactive,non-nhl
John,,Armstrong,C,inactive,non-nhl
Danny,,Arndt,LW,inactive,non-nhl
Linus,,Arnesson,D,inactive,non-nhl
Taylor,,Aronson,D,inactive,non-nhl
Yuri,,Artemenkov,RW,inactive,non-nhl
Bob,,Ash,D,inactive,non-nhl
Ron,,Ashton,LW,inactive,non-nhl
Calle,,Aslund,D,inactive,non-nhl
Freeman,,Asmundson,D/RW,inactive,non-nhl
Rasmus,,Asplund,C,inactive,non-nhl
Peter,,Aston,D,inactive,non-nhl
P.J.,,Atherton,D,inactive,non-nhl
Vitali,,Atyushov,D,inactive,non-nhl
Nicolas,,Aube-Kubel,RW,inactive,non-nhl
Mathieu,,Aubin,C,inactive,non-nhl
Louis-Marc,,Aubry,C,inactive,non-nhl
Serge,,Aubry,G,inactive,non-nhl
Daniel,,Audette,C,inactive,non-nhl
Matt,,Auffrey,RW,inactive,non-nhl
Chris,,Auger,C,inactive,non-nhl
Justin,,Auger,RW,inactive,non-nhl
Gage,,Ausmus,D,inactive,non-nhl
Brady,,Austin,D,inactive,non-nhl
Alexander,,Avtsin,RW,inactive,non-nhl
Anton,,Axelsson,LW,inactive,non-nhl
Dick,,Axelsson,W,inactive,non-nhl
Emil,,Axelsson,D,inactive,non-nhl
Justin,,Azevedo,C,inactive,non-nhl
Pete,,Babando,LW,inactive,nhl
Anton,,Babchuk,D,inactive,nhl
Bobby,,Babcock,D,inactive,nhl
Warren,,Babe,LW,inactive,nhl
Yuri,,Babenko,C,inactive,nhl
Mitch,,Babin,C,inactive,nhl
John,,Baby,D,inactive,nhl
Dave,,Babych,D,inactive,nhl
Wayne,,Babych,RW,inactive,nhl
Jergus,,Baca,D,inactive,nhl
Jason,,Bacashihua,G,inactive,nhl
Ryan,,Bach,G,inactive,nhl
Richard,,Bachman,G,active,nhl
David,,Backes,C,active,nhl
Johan,,Backlund,G,inactive,nhl
Mikael,,Backlund,C,active,nhl
Christian,,Backman,D,inactive,nhl
Mike,,Backman,RW,inactive,nhl
Pete,,Backor,D,inactive,nhl
Nicklas,,Backstrom,C,active,nhl
Niklas,,Backstrom,G,active,nhl
Ralph,,Backstrom,C,inactive,nhl
Sven,,Baertschi,LW,active,nhl
Drew,,Bagnall,D,inactive,nhl
Ace,,Bailey,RW,inactive,nhl
Ace,,Bailey,LW,inactive,nhl
Bob,,Bailey,RW,inactive,nhl
Casey,,Bailey,RW,inactive,nhl
Josh,,Bailey,C,active,nhl
Justin,,Bailey,RW,active,nhl
Reid,,Bailey,D,inactive,nhl
Scott,,Bailey,G,inactive,nhl
Joel,,Baillargeon,LW,inactive,nhl
Ken,,Baird,D,inactive,nhl
Bill,,Baker,D,inactive,nhl
Jamie,,Baker,C,inactive,nhl
Steve,,Baker,G,inactive,nhl
Peter,,Bakovic,RW,inactive,nhl
Chris,,Bala,LW,inactive,nhl
Jaroslav,,Balastik,RW,inactive,nhl
Helmut,,Balderis,RW,inactive,nhl
Doug,,Baldwin,D,inactive,nhl
Jozef,,Balej,RW,inactive,nhl
Mike,,Bales,G,inactive,nhl
Earl,,Balfour,LW,inactive,nhl
Murray,,Balfour,RW,inactive,nhl
Terry,,Ball,D,inactive,nhl
Keith,,Ballard,D,inactive,nhl
Maxim,,Balmochnykh,LW,inactive,nhl
Dave,,Balon,LW,inactive,nhl
Bryon,,Baltimore,D,inactive,nhl
Stan,,Baluik,C,inactive,nhl
Carter,,Bancks,C,inactive,nhl
Steve,,Bancroft,D,inactive,nhl
Jeff,,Bandura,D,inactive,nhl
Daniel,,Bang,W,inactive,nhl
Frank,,Banham,RW,inactive,nhl
Darren,,Banks,LW,inactive,nhl
Murray,,Bannerman,G,inactive,nhl
Drew,,Bannister,D,inactive,nhl
Ralph,,Barahona,C,inactive,nhl
Ivan,,Baranka,D,inactive,nhl
Andy,,Barbe,RW,inactive,nhl
Bill,,Barber,LW,inactive,nhl
Don,,Barber,W,inactive,nhl
Mark,,Barberio,D,active,nhl
